2025-10-17 13:25:39-INFO-[main.py:29]--------------------------启动数据分析系统-------------------------
2025-10-17 13:25:39-INFO-[file_utils.py:39]-paths.yaml 生成成功: C:\Users\17584\Documents\ALearning\Project\tools\DataProcess\config\paths.yaml
2025-10-17 13:25:39-INFO-[tdms_reader_frequency_average.py:26]-配置文件加载成功: C:\Users\17584\Documents\ALearning\Project\tools\DataProcess\config\paths.yaml
2025-10-17 13:25:39-INFO-[tdms_reader_frequency_average.py:189]-FFT数据输入目录: D:/Lab/process/2025.6.20/frequency
2025-10-17 13:25:39-INFO-[tdms_reader_frequency_average.py:190]-平均FFT输出目录: D:/Lab/process/2025.6.20/frequency_ave
2025-10-17 13:25:39-INFO-[tdms_reader_frequency_average.py:203]-找到 164 个FFT CSV文件
2025-10-17 13:25:39-INFO-[tdms_reader_frequency_average.py:55]-按频率分组完成，找到 6 个频率组
2025-10-17 13:25:39-INFO-[tdms_reader_frequency_average.py:57]-  频率 30Hz: 24 个文件
2025-10-17 13:25:42-INFO-[tdms_reader_frequency_average.py:102]-  已处理 6/23 个文件: FFT_20250620203957.759340.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 7/24 个文件: FFT_20250620205512.593425.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 5/42 个文件: FFT_20250620193746.344677.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 7/29 个文件: FFT_20250620194629.813220.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 7/23 个文件: FFT_20250620204000.623816.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 5/22 个文件: FFT_20250620193234.988384.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 7/24 个文件: FFT_20250620203710.409991.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 8/24 个文件: FFT_20250620205515.474232.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 8/29 个文件: FFT_20250620194632.691684.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 8/24 个文件: FFT_20250620203713.390256.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 8/23 个文件: FFT_20250620204003.597035.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 6/42 个文件: FFT_20250620193749.270337.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 6/22 个文件: FFT_20250620193237.935547.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 9/24 个文件: FFT_20250620205518.349068.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 9/29 个文件: FFT_20250620194635.587857.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 9/24 个文件: FFT_20250620203716.299159.csv
2025-10-17 13:25:43-INFO-[tdms_reader_frequency_average.py:102]-  已处理 9/23 个文件: FFT_20250620204006.502835.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 7/42 个文件: FFT_20250620193752.182714.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 7/22 个文件: FFT_20250620193240.864516.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 10/24 个文件: FFT_20250620205521.206456.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 10/23 个文件: FFT_20250620204009.381570.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 10/29 个文件: FFT_20250620194638.548843.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 10/24 个文件: FFT_20250620203719.208527.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 11/24 个文件: FFT_20250620205524.067070.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 8/42 个文件: FFT_20250620193755.071010.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 8/22 个文件: FFT_20250620193243.809867.csv
