P0_a_m,R_m,frequency_hz,m_n,S_E_sqrt_v_per_m_sqrt_hz,T_int_s,gamma,E_min_v_per_m,E_shaft_baseline_quasi_static_v_per_m,detectable_baseline,margin_db
3000.0,300.0,3.0,0.03,1e-12,1000.0,2.0,6.324555320336759e-14,6.631455962162305e-08,yes,120.41157788532595
3000.0,1000.0,3.0,0.03,1e-12,1000.0,2.0,6.324555320336759e-14,1.7904931097838224e-09,yes,89.0388531685057
30.0,100.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,1.7904931097838226e-08,yes,69.03885316850571
30.0,300.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,6.631455962162306e-10,yes,40.411577885325954
30.0,1000.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,1.7904931097838226e-11,yes,9.038853168505701
100.0,100.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,5.968310365946075e-08,yes,79.49642807411246
100.0,300.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,2.2104853207207685e-09,yes,50.8691527909327
100.0,1000.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,5.968310365946076e-11,yes,19.49642807411245
300.0,100.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,1.7904931097838226e-07,yes,89.0388531685057
300.0,300.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,6.631455962162305e-09,yes,60.411577885325954
300.0,1000.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,1.7904931097838224e-10,yes,29.0388531685057
1000.0,100.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,5.968310365946076e-07,yes,99.49642807411246
1000.0,300.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,2.2104853207207683e-08,yes,70.8691527909327
1000.0,1000.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,5.968310365946075e-10,yes,39.49642807411245
3000.0,100.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,1.7904931097838226e-06,yes,109.0388531685057
3000.0,300.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,6.631455962162305e-08,yes,80.41157788532595
3000.0,1000.0,3.0,0.03,1e-11,10.0,2.0,6.324555320336758e-12,1.7904931097838224e-09,yes,49.0388531685057
30.0,100.0,3.0,0.03,1e-11,100.0,2.0,2e-12,1.7904931097838226e-08,yes,79.03885316850571
30.0,300.0,3.0,0.03,1e-11,100.0,2.0,2e-12,6.631455962162306e-10,yes,50.411577885325954
30.0,1000.0,3.0,0.03,1e-11,100.0,2.0,2e-12,1.7904931097838226e-11,yes,19.0388531685057
100.0,100.0,3.0,0.03,1e-11,100.0,2.0,2e-12,5.968310365946075e-08,yes,89.49642807411244
100.0,300.0,3.0,0.03,1e-11,100.0,2.0,2e-12,2.2104853207207685e-09,yes,60.8691527909327
100.0,1000.0,3.0,0.03,1e-11,100.0,2.0,2e-12,5.968310365946076e-11,yes,29.49642807411245
300.0,100.0,3.0,0.03,1e-11,100.0,2.0,2e-12,1.7904931097838226e-07,yes,99.0388531685057
300.0,300.0,3.0,0.03,1e-11,100.0,2.0,2e-12,6.631455962162305e-09,yes,70.41157788532595
300.0,1000.0,3.0,0.03,1e-11,100.0,2.0,2e-12,1.7904931097838224e-10,yes,39.0388531685057
1000.0,100.0,3.0,0.03,1e-11,100.0,2.0,2e-12,5.968310365946076e-07,yes,109.49642807411246
1000.0,300.0,3.0,0.03,1e-11,100.0,2.0,2e-12,2.2104853207207683e-08,yes,80.8691527909327
1000.0,1000.0,3.0,0.03,1e-11,100.0,2.0,2e-12,5.968310365946075e-10,yes,49.49642807411245
3000.0,100.0,3.0,0.03,1e-11,100.0,2.0,2e-12,1.7904931097838226e-06,yes,119.0388531685057
3000.0,300.0,3.0,0.03,1e-11,100.0,2.0,2e-12,6.631455962162305e-08,yes,90.41157788532595
3000.0,1000.0,3.0,0.03,1e-11,100.0,2.0,2e-12,1.7904931097838224e-09,yes,59.0388531685057
30.0,100.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,1.7904931097838226e-08,yes,89.0388531685057
30.0,300.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,6.631455962162306e-10,yes,60.411577885325954
30.0,1000.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,1.7904931097838226e-11,yes,29.0388531685057
100.0,100.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,5.968310365946075e-08,yes,99.49642807411244
100.0,300.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,2.2104853207207685e-09,yes,70.8691527909327
100.0,1000.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,5.968310365946076e-11,yes,39.49642807411245
300.0,100.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,1.7904931097838226e-07,yes,109.0388531685057
300.0,300.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,6.631455962162305e-09,yes,80.41157788532595
300.0,1000.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,1.7904931097838224e-10,yes,49.038853168505696
1000.0,100.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,5.968310365946076e-07,yes,119.49642807411246
1000.0,300.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,2.2104853207207683e-08,yes,90.8691527909327
1000.0,1000.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,5.968310365946075e-10,yes,59.49642807411245
3000.0,100.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,1.7904931097838226e-06,yes,129.03885316850568
3000.0,300.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,6.631455962162305e-08,yes,100.41157788532595
3000.0,1000.0,3.0,0.03,1e-11,1000.0,2.0,6.324555320336758e-13,1.7904931097838224e-09,yes,69.0388531685057
30.0,100.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,1.7904931097838226e-08,yes,49.038853168505696
30.0,300.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,6.631455962162306e-10,yes,20.411577885325954
30.0,1000.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,1.7904931097838226e-11,no,-10.961146831494297
100.0,100.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,5.968310365946075e-08,yes,59.49642807411245
100.0,300.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,2.2104853207207685e-09,yes,30.869152790932706
100.0,1000.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,5.968310365946076e-11,no,-0.5035719258875474
300.0,100.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,1.7904931097838226e-07,yes,69.03885316850571
300.0,300.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,6.631455962162305e-09,yes,40.411577885325954
300.0,1000.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,1.7904931097838224e-10,yes,9.0388531685057
1000.0,100.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,5.968310365946076e-07,yes,79.49642807411246
1000.0,300.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,2.2104853207207683e-08,yes,50.8691527909327
1000.0,1000.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,5.968310365946075e-10,yes,19.49642807411245
3000.0,100.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,1.7904931097838226e-06,yes,89.0388531685057
3000.0,300.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,6.631455962162305e-08,yes,60.411577885325954
3000.0,1000.0,3.0,0.03,1e-10,10.0,2.0,6.324555320336759e-11,1.7904931097838224e-09,yes,29.0388531685057
30.0,100.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,1.7904931097838226e-08,yes,59.0388531685057
30.0,300.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,6.631455962162306e-10,yes,30.411577885325954
30.0,1000.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,1.7904931097838226e-11,no,-0.9611468314942999
100.0,100.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,5.968310365946075e-08,yes,69.49642807411246
100.0,300.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,2.2104853207207685e-09,yes,40.8691527909327
100.0,1000.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,5.968310365946076e-11,yes,9.496428074112451
300.0,100.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,1.7904931097838226e-07,yes,79.0388531685057
300.0,300.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,6.631455962162305e-09,yes,50.41157788532595
300.0,1000.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,1.7904931097838224e-10,yes,19.0388531685057
1000.0,100.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,5.968310365946076e-07,yes,89.49642807411244
1000.0,300.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,2.2104853207207683e-08,yes,60.8691527909327
1000.0,1000.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,5.968310365946075e-10,yes,29.49642807411245
3000.0,100.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,1.7904931097838226e-06,yes,99.0388531685057
3000.0,300.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,6.631455962162305e-08,yes,70.41157788532595
3000.0,1000.0,3.0,0.03,1e-10,100.0,2.0,2.0000000000000002e-11,1.7904931097838224e-09,yes,39.0388531685057
30.0,100.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,1.7904931097838226e-08,yes,69.03885316850571
30.0,300.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,6.631455962162306e-10,yes,40.411577885325954
30.0,1000.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,1.7904931097838226e-11,yes,9.0388531685057
100.0,100.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,5.968310365946075e-08,yes,79.49642807411246
100.0,300.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,2.2104853207207685e-09,yes,50.8691527909327
100.0,1000.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,5.968310365946076e-11,yes,19.49642807411245
300.0,100.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,1.7904931097838226e-07,yes,89.0388531685057
300.0,300.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,6.631455962162305e-09,yes,60.411577885325954
300.0,1000.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,1.7904931097838224e-10,yes,29.0388531685057
1000.0,100.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,5.968310365946076e-07,yes,99.49642807411244
1000.0,300.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,2.2104853207207683e-08,yes,70.8691527909327
1000.0,1000.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,5.968310365946075e-10,yes,39.49642807411245
3000.0,100.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,1.7904931097838226e-06,yes,109.0388531685057
3000.0,300.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,6.631455962162305e-08,yes,80.41157788532595
3000.0,1000.0,3.0,0.03,1e-10,1000.0,2.0,6.324555320336759e-12,1.7904931097838224e-09,yes,49.038853168505696
30.0,100.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,1.7904931097838226e-08,yes,29.0388531685057
30.0,300.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,6.631455962162306e-10,yes,0.4115778853259539
30.0,1000.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,1.7904931097838226e-11,no,-30.9611468314943
100.0,100.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,5.968310365946075e-08,yes,39.49642807411245
100.0,300.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,2.2104853207207685e-09,yes,10.869152790932706
100.0,1000.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,5.968310365946076e-11,no,-20.50357192588755
300.0,100.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,1.7904931097838226e-07,yes,49.038853168505696
300.0,300.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,6.631455962162305e-09,yes,20.411577885325954
300.0,1000.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,1.7904931097838224e-10,no,-10.9611468314943
1000.0,100.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,5.968310365946076e-07,yes,59.49642807411245
1000.0,300.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,2.2104853207207683e-08,yes,30.869152790932706
1000.0,1000.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,5.968310365946075e-10,no,-0.5035719258875484
3000.0,100.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,1.7904931097838226e-06,yes,69.0388531685057
3000.0,300.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,6.631455962162305e-08,yes,40.41157788532595
3000.0,1000.0,3.0,0.03,1e-09,10.0,2.0,6.324555320336759e-10,1.7904931097838224e-09,yes,9.0388531685057
30.0,100.0,3.0,0.03,1e-09,100.0,2.0,2e-10,1.7904931097838226e-08,yes,39.0388531685057
30.0,300.0,3.0,0.03,1e-09,100.0,2.0,2e-10,6.631455962162306e-10,yes,10.411577885325954
30.0,1000.0,3.0,0.03,1e-09,100.0,2.0,2e-10,1.7904931097838226e-11,no,-20.9611468314943
100.0,100.0,3.0,0.03,1e-09,100.0,2.0,2e-10,5.968310365946075e-08,yes,49.49642807411245
100.0,300.0,3.0,0.03,1e-09,100.0,2.0,2e-10,2.2104853207207685e-09,yes,20.869152790932706
100.0,1000.0,3.0,0.03,1e-09,100.0,2.0,2e-10,5.968310365946076e-11,no,-10.503571925887547
300.0,100.0,3.0,0.03,1e-09,100.0,2.0,2e-10,1.7904931097838226e-07,yes,59.0388531685057
300.0,300.0,3.0,0.03,1e-09,100.0,2.0,2e-10,6.631455962162305e-09,yes,30.411577885325954
300.0,1000.0,3.0,0.03,1e-09,100.0,2.0,2e-10,1.7904931097838224e-10,no,-0.9611468314942999
1000.0,100.0,3.0,0.03,1e-09,100.0,2.0,2e-10,5.968310365946076e-07,yes,69.49642807411246
1000.0,300.0,3.0,0.03,1e-09,100.0,2.0,2e-10,2.2104853207207683e-08,yes,40.8691527909327
1000.0,1000.0,3.0,0.03,1e-09,100.0,2.0,2e-10,5.968310365946075e-10,yes,9.496428074112451
3000.0,100.0,3.0,0.03,1e-09,100.0,2.0,2e-10,1.7904931097838226e-06,yes,79.03885316850571
