P0_a_m,R_m,frequency_hz,m_n,S_E_sqrt_v_per_m_sqrt_hz,T_int_s,gamma,E_min_v_per_m,E_shaft_baseline_quasi_static_v_per_m,detectable_baseline,margin_db
3000.0,300.0,3.0,0.03,1e-09,100.0,2.0,2e-10,6.631455962162305e-08,yes,50.411577885325954
3000.0,1000.0,3.0,0.03,1e-09,100.0,2.0,2e-10,1.7904931097838224e-09,yes,19.0388531685057
30.0,100.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,1.7904931097838226e-08,yes,49.038853168505696
30.0,300.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,6.631455962162306e-10,yes,20.411577885325954
30.0,1000.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,1.7904931097838226e-11,no,-10.961146831494297
100.0,100.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,5.968310365946075e-08,yes,59.49642807411245
100.0,300.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,2.2104853207207685e-09,yes,30.869152790932706
100.0,1000.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,5.968310365946076e-11,no,-0.5035719258875474
300.0,100.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,1.7904931097838226e-07,yes,69.03885316850571
300.0,300.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,6.631455962162305e-09,yes,40.411577885325954
300.0,1000.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,1.7904931097838224e-10,yes,9.0388531685057
1000.0,100.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,5.968310365946076e-07,yes,79.49642807411246
1000.0,300.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,2.2104853207207683e-08,yes,50.8691527909327
1000.0,1000.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,5.968310365946075e-10,yes,19.49642807411245
3000.0,100.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,1.7904931097838226e-06,yes,89.0388531685057
3000.0,300.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,6.631455962162305e-08,yes,60.411577885325954
3000.0,1000.0,3.0,0.03,1e-09,1000.0,2.0,6.324555320336759e-11,1.7904931097838224e-09,yes,29.0388531685057
30.0,100.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,1.7904931097838226e-08,yes,9.038853168505701
30.0,300.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,6.631455962162306e-10,no,-19.588422114674046
30.0,1000.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,1.7904931097838226e-11,no,-50.9611468314943
100.0,100.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,5.968310365946075e-08,yes,19.49642807411245
100.0,300.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,2.2104853207207685e-09,no,-9.130847209067293
100.0,1000.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,5.968310365946076e-11,no,-40.50357192588755
300.0,100.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,1.7904931097838226e-07,yes,29.0388531685057
300.0,300.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,6.631455962162305e-09,yes,0.4115778853259539
300.0,1000.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,1.7904931097838224e-10,no,-30.9611468314943
1000.0,100.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,5.968310365946076e-07,yes,39.49642807411245
1000.0,300.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,2.2104853207207683e-08,yes,10.869152790932706
1000.0,1000.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,5.968310365946075e-10,no,-20.50357192588755
3000.0,100.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,1.7904931097838226e-06,yes,49.0388531685057
