P0_a_m,sigma_s_per_m,m_n,frequency_hz,S_E_sqrt_v_per_m_sqrt_hz,T_int_s,gamma,E_min_v_per_m,Rmax_baseline_quasi_static_m,Rmax_optional_conservative_m
30.0,4.0,0.03,3.0,1e-08,10.0,2.0,6.324555320336758e-09,141.4645273261694,109.92941701534194
100.0,4.0,0.03,3.0,1e-08,10.0,2.0,6.324555320336758e-09,211.31993474298704,149.84312889487222
300.0,4.0,0.03,3.0,1e-08,10.0,2.0,6.324555320336758e-09,304.7760850804627,194.89093368539494
1000.0,4.0,0.03,3.0,1e-08,10.0,2.0,6.324555320336758e-09,455.2749981055652,254.1310469723321
3000.0,4.0,0.03,3.0,1e-08,10.0,2.0,6.324555320336758e-09,656.6201703894575,317.1674864123089
30.0,4.0,0.03,3.0,1e-08,100.0,2.0,2e-09,207.64152960385363,147.89454429337343
100.0,4.0,0.03,3.0,1e-08,100.0,2.0,2e-09,310.1752454496999,197.2657283027995
300.0,4.0,0.03,3.0,1e-08,100.0,2.0,2e-09,447.35011446982463,251.3219645482164
1000.0,4.0,0.03,3.0,1e-08,100.0,2.0,2e-09,668.2523087859877,320.4006488944841
3000.0,4.0,0.03,3.0,1e-08,100.0,2.0,2e-09,963.7866052035242,392.0504570354188
30.0,4.0,0.03,3.0,1e-08,1000.0,2.0,6.324555320336759e-10,304.7760850804626,194.89093368539494
100.0,4.0,0.03,3.0,1e-08,1000.0,2.0,6.324555320336759e-10,455.27499810556515,254.1310469723321
300.0,4.0,0.03,3.0,1e-08,1000.0,2.0,6.324555320336759e-10,656.6201703894575,317.1674864123089
1000.0,4.0,0.03,3.0,1e-08,1000.0,2.0,6.324555320336759e-10,980.8602494228297,395.68364792393743
3000.0,4.0,0.03,3.0,1e-08,1000.0,2.0,6.324555320336759e-10,1414.6452732616935,475.34764451519203
