P0_a_m,R_m,field_region,E_static_equatorial_v_per_m,E_static_axial_v_per_m,E_shaft1_baseline_equatorial_v_per_m,E_shaft1_baseline_axial_v_per_m,E_shaft1_optional_conservative_v_per_m,shaft1_relative_to_static_db
300.0,100.0,near_intermediate_estimate_R_lt_3L,5.968310365946075e-06,1.193662073189215e-05,1.7904931097838226e-07,3.580986219567645e-07,8.996068873573104e-08,-30.45757490560675
300.0,300.0,far_field_R_ge_3L,2.2104853207207685e-07,4.420970641441537e-07,6.631455962162305e-09,1.326291192432461e-08,8.411031177971253e-10,-30.45757490560675
300.0,1000.0,far_field_R_ge_3L,5.968310365946075e-09,1.193662073189215e-08,1.7904931097838224e-10,3.580986219567645e-10,1.8355821694905863e-13,-30.45757490560675
