R0_m,speed_m_per_s,tau_s,t_half_s,full_half_width_s
50.0,5.0,10.0,7.664209365408798,15.328418730817596
100.0,5.0,20.0,15.328418730817596,30.65683746163519
300.0,5.0,60.0,45.98525619245279,91.97051238490558
500.0,5.0,100.0,76.64209365408799,153.28418730817597
1000.0,5.0,200.0,153.28418730817597,306.56837461635195
