"distance_m","motor_30hz_normE_V_per_m","motor_50hz_normE_V_per_m","wall_50hz_normE_V_per_m","combined_50hz_normE_V_per_m","motor_50hz_ratio_percent","wall_50hz_ratio_percent","motor_sensor_axis_V_per_m","wall_sensor_axis_V_per_m","combined_sensor_axis_V_per_m","complex_superposition_relative_error"
"2","0.0686725604764009","0.114432793441914","1.47747491710099E-05","0.114442817648952","99.9912408596327","0.0129101585180563","0.0708239261184982","1.62537634100259E-06","0.0708240374609169","1.7730232407226E-07"
"3","0.0278084186107958","0.0463353945414683","1.15366783055062E-05","0.0463424790658318","99.9847126772104","0.0248943917935805","0.0270776307025838","1.89946814238795E-06","0.0270795265389968","2.7759734528342E-07"
"4","0.0165535291446576","0.0275873191273732","8.94760300645753E-06","0.0275915181637088","99.9847814233683","0.0324288172668453","0.00870120889576984","1.21086982641367E-06","0.00870239583821823","3.13411340880719E-07"
