"distance_m","frequency_hz","time_s","Ex_V_per_m","Ey_V_per_m","Ez_V_per_m","E_norm_instant_V_per_m","E_sensor_V_per_m"
"2","30","0","-0.0482531512578048","-0.0419125001963687","-0.0201657964638469","0.0670200240677404","-0.0419125001963687"
"2","30","0.001","-0.0495699624329252","-0.0398457633556491","-0.0209935093446493","0.0669745732916596","-0.0398457633556491"
"2","30","0.002","-0.0491307329761202","-0.0363674704832442","-0.0210775166907583","0.0646582055269837","-0.0363674704832442"
"2","30","0.003","-0.0469510228098716","-0.0316008418382363","-0.0204148425000568","0.060164587109698","-0.0316008418382363"
"2","30","0.004","-0.0431080492534973","-0.0257147376167423","-0.0190289623361216","0.0536810306228316","-0.0257147376167423"
"2","30","0.005","-0.0377379515611179","-0.0189176759952825","-0.0169689716946805","0.0454970048845706","-0.0189176759952825"
"2","30","0.006","-0.0310309681207086","-0.011450446270422","-0.0143078467711998","0.0360381489747793","-0.011450446270422"
"2","30","0.007","-0.0232246971643629","-0.00357757877789628","-0.0111398592427778","0.0260054242848934","-0.00357757877789628"
"2","30","0.008","-0.0145956797324683","0.00442202622641193","-0.00757723664698576","0.0170294655818755","0.00442202622641193"
"2","30","0.009","-0.00544960306948245","0.0122649787470809","-0.00374618666539882","0.0139341950543715","0.0122649787470809"
"2","30","0.01","0.00388952849909916","0.0196734382810199","0.000217573846443579","0.020055421813591","0.0196734382810199"
"2","30","0.011","0.0130908715815045","0.0263849564558063","0.00417362669630589","0.0297482101266337","0.0263849564558063"
"2","30","0.012","0.0218284640117775","0.0321617743941203","0.00798182673972076","0.0396808660615501","0.0321617743941203"
"2","30","0.013","0.0297927722220136","0.0367992454405073","0.0115072665916002","0.0487258753238322","0.0367992454405073"
"2","30","0.014","0.0367016566233181","0.0401330848711719","0.0146250557876093","0.0563166792075254","0.0401330848711719"
"2","30","0.015","0.0423103665414015","0.0420451897622219","0.0172247450911287","0.0620858836005686","0.0420451897622219"
"2","30","0.016","0.0464202106312345","0.042467822844626","0.0192142392125253","0.0657840324146131","0.042467822844626"
"2","30","0.017","0.0488855956170026","0.0413860121307395","0.0205230593307009","0.0672591958263425","0.0413860121307395"
"2","30","0.018","0.0496191840064852","0.0388380813044305","0.0211048398404667","0.066452044705718","0.0388380813044305"
"2","30","0.019","0.04859498806526","0.0349142920854731","0.0209389708772217","0.0633949616159647","0.0349142920854731"
"2","30","0.02","0.0458492904451502","0.0297536466631251","0.0200313284316817","0.0582124646687952","0.0297536466631251"
"2","30","0.021","0.0414793588531954","0.0235389634742749","0.0184140661899783","0.0511243371200479","0.0235389634742749"
"2","30","0.022","0.0356400002946378","0.0164904007691718","0.0161444764732981","0.0424592399734918","0.0164904007691718"
"2","30","0.023","0.0285380769575835","0.00885765739565326","0.0133029606288417","0.0327085415827157","0.00885765739565326"
"2","30","0.024","0.020425178016859","0.000911127092973888","0.00999018077201569","0.0227556973406108","0.000911127092973888"
"2","30","0.025","0.0115887069620655","-0.00706768034120974","0.0063234937808101","0.0149745386591405","-0.00706768034120974"
"2","30","0.026","0.00234170018567646","-0.0147961116757661","0.00243279386988814","0.0151765268258157","-0.0147961116757661"
"2","30","0.027","-0.00698826248722752","-0.0220003833777162","-0.00154408897672605","0.0231351873155358","-0.0220003833777162"
"2","30","0.028","-0.0160706624775748","-0.0284252805303818","-0.00546627170154555","0.0331080487497247","-0.0284252805303818"
"2","30","0.029","-0.0245837512377437","-0.0338431979490448","-0.00919480902616839","0.0428283479177659","-0.0338431979490448"
"2","30","0.03","-0.0322259483542677","-0.0380622032080861","-0.012597615657035","0.0514387303559093","-0.0380622032080861"
"2","30","0.031","-0.0387265251843331","-0.0409328359428504","-0.0155541454728028","0.0584565843388596","-0.0409328359428504"
"2","30","0.032","-0.0438551955529199","-0.0423534025575759","-0.017959661930792","0.0635581492954072","-0.0423534025575759"
"2","30","0.033","-0.0474302737553604","-0.0422735787717228","-0.019728948411226","0.0665275712474934","-0.0422735787717228"
"2","30","0.034","-0.0493251108640042","-0.0406961923827007","-0.0207993270584707","0.0672440230970851","-0.0406961923827007"
"2","30","0.035","-0.0494725813296205","-0.0376771230897348","-0.0211328791753179","0.0656787674212415","-0.0376771230897348"
"2","30","0.036","-0.0478674609374445","-0.0333233229276634","-0.0207177885117385","0.0618947851467007","-0.0333233229276634"
"2","30","0.037","-0.0445666118775901","-0.0277890274377827","-0.0195687598614302","0.0560477412809822","-0.0277890274377827"
"2","30","0.038","-0.0396869683736164","-0.0212702917969039","-0.0177264981371698","0.0483912131282215","-0.0212702917969039"
"2","30","0.039","-0.0334013942293621","-0.0139980454649727","-0.0152562663789853","0.0392982452169466","-0.0139980454649727"
"2","30","0.04","-0.025932559042514","-0.00622991139382258","-0.0122455737784262","0.0293472910441702","-0.00622991139382258"
"2","30","0.041","-0.0175450500230988","0.00175892039433007","-0.00880107562182592","0.0197073974275582","0.00175892039433007"
"2","30","0.042","-0.00853599885966008","0.00968544155061679","-0.0050447949736111","0.0138607723770468","0.00968544155061679"
"2","30","0.043","0.000775444318941391","0.0172688511113675","-0.00110979994841078","0.0173218413722055","0.0172688511113675"
"2","30","0.044","0.0100594169959522","0.0242405030122397","0.00286451029324454","0.026400743849463","0.0242405030122397"
"2","30","0.045","0.0189870298108333","0.0303534230089793","0.00673734382968119","0.0364311596202873","0.0303534230089793"
"2","30","0.046","0.0272420176288221","0.0353910578631507","0.0103715036020984","0.0458500009610717","0.0353910578631507"
"2","30","0.047","0.0345319433910029","0.0391749468485693","0.0136382476887746","0.053973450649074","0.0391749468485693"
"2","30","0.048","0.0405985578429119","0.0415710438114965","0.0164218500518282","0.0603827106184076","0.0415710438114965"
"2","30","0.049","0.0452269481431241","0.0424944658224642","0.0186237001898036","0.0647927362644695","0.0424944658224642"
"2","30","0.05","0.0482531512578048","0.0419125001963687","0.0201657964638469","0.0670200240677404","0.0419125001963687"
"2","30","0.051","0.0495699624329252","0.0398457633556491","0.0209935093446493","0.0669745732916596","0.0398457633556491"
