"distance_m","time_s","Ex_V_per_m","Ey_V_per_m","Ez_V_per_m","E_norm_instant_V_per_m","E_sensor_V_per_m"
"2","0","-0.236509811372926","-0.288652381184971","-0.0895713338423536","0.383770910682023","-0.288652381184971"
"2","1E-05","-0.211459578800966","-0.285857808315633","-0.0873295246895406","0.366136976996589","-0.285857808315633"
"2","2E-05","-0.172954358178609","-0.253525502161728","-0.0790682176661323","0.316922976926934","-0.253525502161728"
"2","3E-05","-0.133313627121241","-0.202137324005515","-0.0674824786427647","0.251368068489423","-0.202137324005515"
"2","4E-05","-0.103649969132273","-0.146954024126959","-0.0560784037652543","0.188370880650611","-0.146954024126959"
"2","5E-05","-0.0894348608182561","-0.101699431762853","-0.0477106038912795","0.143588545762323","-0.101699431762853"
"2","6E-05","-0.0890024048502223","-0.0734887585626173","-0.0435268790847223","0.123355644001617","-0.0734887585626173"
"2","7E-05","-0.0955117334575444","-0.0612669509681812","-0.042791577643495","0.121273449799294","-0.0612669509681812"
"2","8E-05","-0.101122021884614","-0.0581618294390211","-0.0435982057328772","0.124536200587831","-0.0581618294390211"
"2","9E-05","-0.101082799361969","-0.0561775308227433","-0.044034698204973","0.123744502674646","-0.0561775308227433"
"2","0.0001","-0.0956396316097601","-0.0505930652155019","-0.0431649934228556","0.116489544764952","-0.0505930652155019"
"2","0.00011","-0.0889570302450034","-0.0418117250612869","-0.0413351437408045","0.10663098841652","-0.0418117250612869"
"2","0.00012","-0.0859324183720559","-0.0339686243500314","-0.0397117005718841","0.100574684338628","-0.0339686243500314"
"2","0.00013","-0.0888980013918347","-0.031455617841835","-0.0393899065541589","0.102195280143554","-0.031455617841835"
"2","0.00014","-0.0961787256498274","-0.0356392144712524","-0.0406332319348774","0.110324795097141","-0.0356392144712524"
"2","0.00015","-0.103333003546893","-0.0438275367739165","-0.0427052068850465","0.120092869466866","-0.0438275367739165"
"2","0.00016","-0.10630207197857","-0.0511364016582461","-0.0443915257784012","0.126038365755928","-0.0511364016582461"
"2","0.00017","-0.104539008627297","-0.0541228317671957","-0.0448925934125191","0.125988214474926","-0.0541228317671957"
"2","0.00018","-0.102136499081144","-0.0539169382553599","-0.044531756082212","0.1237819775862","-0.0539169382553599"
"2","0.00019","-0.106068198633248","-0.0567532946581359","-0.0448086115828918","0.128371378772068","-0.0567532946581359"
"2","0.0002","-0.122306121113138","-0.0712156143093636","-0.0476886659471243","0.149347446724134","-0.0712156143093636"
"2","0.00021","-0.151862849967892","-0.10339892530093","-0.0544626313418698","0.191624218632297","-0.10339892530093"
"2","0.00022","-0.18900206428632","-0.152511133512254","-0.0647844817134172","0.25135324788146","-0.152511133512254"
"2","0.00023","-0.222820217336981","-0.209420593759035","-0.0764470544410747","0.315198328798239","-0.209420593759035"
"2","0.00024","-0.241656591907182","-0.259261338952289","-0.0860932488501767","0.364727840704691","-0.259261338952289"
"2","0.00025","-0.23826371664229","-0.287138696434517","-0.0905754779001447","0.383955917854057","-0.287138696434517"
"2","0.00026","-0.213189154156708","-0.284323319693286","-0.0883234810337134","0.366183564450093","-0.284323319693286"
"2","0.00027","-0.174659589633154","-0.251970222391977","-0.0800519782154904","0.316864773111965","-0.251970222391977"
"2","0.00028","-0.134994500900046","-0.200561265994649","-0.0684560354053367","0.25126592581177","-0.200561265994649"
"2","0.00029","-0.105306471673952","-0.145357200962948","-0.057041748838367","0.188339931928253","-0.145357200962948"
"2","0.0003","-0.0910669787747007","-0.100081856715227","-0.0486637294616297","0.143797535555495","-0.100081856715227"
"2","0.00031","-0.0906101250867262","-0.0718504450823439","-0.0444697774284475","0.12389609489931","-0.0718504450823439"
"2","0.00032","-0.0970950430529202","-0.0596079126875417","-0.0437242411262443","0.122034257085787","-0.0596079126875417"
"2","0.00033","-0.102680908131311","-0.0564820801714861","-0.0445206268098802","0.125362197199609","-0.0564820801714861"
"2","0.00034","-0.102617249766188","-0.0544770845628441","-0.0449468694211085","0.124572363559506","-0.0544770845628441"
"2","0.00035","-0.0971496338915662","-0.0488719361387026","-0.0440669074127195","0.117338867542396","-0.0488719361387026"
"2","0.00036","-0.0904425723384379","-0.0400699275238533","-0.0422267932287766","0.107557240803891","-0.0400699275238533"
"2","0.00037","-0.0873934884252446","-0.0322061728888985","-0.0405930783721939","0.101600479344411","-0.0322061728888985"
"2","0.00038","-0.0903345877670952","-0.0296725271744734","-0.040261005570951","0.103255727131986","-0.0296725271744734"
"2","0.00039","-0.0975908169237739","-0.0338354994955321","-0.0414940451622759","0.111312911910033","-0.0338354994955321"
"2","0.0004","-0.104720588510539","-0.0420032125679697","-0.0435557274072183","0.120945330269488","-0.0420032125679697"
"2","0.00041","-0.10766513963743","-0.0492914834803282","-0.0452317467696187","0.126757025654082","-0.0492914834803282"
"2","0.00042","-0.105877548201485","-0.0522573350555442","-0.0457225081372221","0.126615291456535","-0.0522573350555442"
"2","0.00043","-0.103450500005469","-0.0520308786280518","-0.0453513578950685","0.124362228771904","-0.0520308786280518"
"2","0.00044","-0.107357650557312","-0.0548466879129441","-0.0456178939288583","0.128898473826149","-0.0548466879129441"
"2","0.00045","-0.123571013901426","-0.0692884764236099","-0.0484876223615048","0.149738899301429","-0.0692884764236099"
"2","0.00046","-0.153103173699864","-0.101451272431339","-0.0552512554503743","0.191795838598628","-0.101451272431339"
"2","0.00047","-0.190217809256501","-0.150542981994802","-0.0655627672322191","0.251285655844849","-0.150542981994802"
"2","0.00048","-0.224011374055044","-0.207431960108801","-0.0772149951768679","0.31491470156341","-0.207431960108801"
"2","0.00049","-0.242823151098037","-0.2572522398633","-0.0868508387002311","0.364259338667931","-0.2572522398633"
"2","0.0005","-0.239405669246166","-0.285109148779596","-0.0913227108523611","0.383330325831983","-0.285109148779596"
"2","0.00051","-0.21430649132923","-0.282273340523892","-0.089060351166678","0.365427499165422","-0.282273340523892"
"2","0.00052","-0.175752302745425","-0.249899828938053","-0.0807784796985277","0.316012593429428","-0.249899828938053"
"2","0.00053","-0.136062581538725","-0.198470475664459","-0.0691721624985623","0.250376404379858","-0.198470475664459"
"2","0.00054","-0.106349911641324","-0.143246031342916","-0.0577474958927388","0.187522005331361","-0.143246031342916"
"2","0.00055","-0.0920857700887535","-0.0979503255697739","-0.0493590909189987","0.143214437779204","-0.0979503255697739"
"2","0.00056","-0.0916042599812188","-0.0696985703537244","-0.045154747821608","0.123645389751874","-0.0696985703537244"
"2","0.00057","-0.0980645139774517","-0.0574357124956789","-0.0443988150789823","0.122011330424423","-0.0574357124956789"
"2","0.00058","-0.103625707751388","-0.0542895728138014","-0.0451847990370221","0.125408576609804","-0.0542895728138014"
"2","0.00059","-0.103537370963286","-0.0522642885140896","-0.0456006347285681","0.124623276026276","-0.0522642885140896"
"2","0.0006","-0.098045069763197","-0.0466388700507893","-0.0447102606975445","0.117418172852957","-0.0466388700507893"
"2","0.00061","-0.0913133161982059","-0.0378166102256782","-0.042859729479194","0.107727313783943","-0.0378166102256782"
"2","0.00062","-0.0882395338029068","-0.0299326233861708","-0.0412155926676551","0.101886713301974","-0.0299326233861708"
"2","0.00063","-0.0911559284086171","-0.0273787646495376","-0.0408730930821754","0.10358382970269","-0.0273787646495376"
"2","0.00064","-0.0983874467913839","-0.0315215433071909","-0.0420957011512937","0.111560501226973","-0.0315215433071909"
"2","0.00065","-0.105492501782781","-0.0396690822513045","-0.044146947227413","0.121042376746951","-0.0396690822513045"
"2","0.00066","-0.108412330709212","-0.0469371987465175","-0.0458125258657681","0.126708806332375","-0.0469371987465175"
"2","0.00067","-0.106600011684131","-0.0498829157916815","-0.046292842045539","0.126470925526739","-0.0498829157916815"
"2","0.00068","-0.104148230726761","-0.049636344896961","-0.0459112422432398","0.124171103170432","-0.049636344896961"
"2","0.00069","-0.108030643561534","-0.0524320599529934","-0.0461673244360842","0.128651322203933","-0.0524320599529934"
"2","0.0007","-0.124219264449411","-0.0668537746485242","-0.0490265948385363","0.149343429204536","-0.0668537746485242"
"2","0.00071","-0.153726677269029","-0.0989965174300105","-0.0557797657995503","0.191163762361226","-0.0989965174300105"
"2","0.00072","-0.190816561540887","-0.148068194531099","-0.0660808114475025","0.250403322724654","-0.148068194531099"
"2","0.00073","-0.224585370965354","-0.204937161121376","-0.0777225693438805","0.313813044097196","-0.204937161121376"
"2","0.00074","-0.243372388761663","-0.254737450465396","-0.0873479389962887","0.362975137892483","-0.254737450465396"
"2","0.00075","-0.239930144007228","-0.282574390258846","-0.0918093335465062","0.381894898839644","-0.282574390258846"
"2","0.00076","-0.214806199748605","-0.27971863434213","-0.0895364926197131","0.36386948396273","-0.27971863434213"
"2","0.00077","-0.17622724160077","-0.247325196731105","-0.0812441363630465","0.314366670169841","-0.247325196731105"
"2","0.00078","-0.136512747824507","-0.19587593924195","-0.0696273309189812","0.248698771817262","-0.19587593924195"
"2","0.00079","-0.106775302568843","-0.140631612688064","-0.0581921727053267","0.185915423486273","-0.140631612688064"
"2","0.0008","-0.0924863830861622","-0.0953160468391856","-0.0497932728519058","0.141838816487993","-0.0953160468391856"
"2","0.00081","-0.0919800926935448","-0.0670444538771911","-0.0455784316948948","0.122607869581728","-0.0670444538771911"
"2","0.00082","-0.0984155642666133","-0.0547617807759672","-0.0448119978046467","0.121212998770407","-0.0547617807759672"
"2","0.00083","-0.10395197369621","-0.0515958485264463","-0.045587477619026","0.124685053379171","-0.0515958485264463"
"2","0.00084","-0.103838850859515","-0.0495507945071826","-0.0459928062628632","0.123907733463456","-0.0495507945071826"
"2","0.00085","-0.0983217621235094","-0.0439056293447664","-0.0450919223720972","0.116739687589282","-0.0439056293447664"
"2","0.00086","-0.0915652197522203","-0.0350636460131064","-0.0432308785740092","0.1071566964883","-0.0350636460131064"
"2","0.00087","-0.0884666474971896","-0.0271599590315317","-0.0415762265547994","0.101452420910112","-0.0271599590315317"
"2","0.00088","-0.0913582514066887","-0.024586423689012","-0.0412232092257995","0.103199686573058","-0.024586423689012"
"2","0.00089","-0.0985649784737219","-0.0287095494484385","-0.0424352971076537","0.111085767097646","-0.0287095494484385"
"2","0.0009","-0.105645241746821","-0.0368374593732441","-0.0444760206448909","0.120399468143445","-0.0368374593732441"
"2","0.00091","-0.108540278769347","-0.0440859708991058","-0.0461310744848915","0.125907271349096","-0.0440859708991058"
"2","0.00092","-0.106703167871708","-0.0470121071956884","-0.0466008636989997","0.125568088120866","-0.0470121071956884"
"2","0.00093","-0.104226595290077","-0.0467459799437455","-0.0462087348559122","0.123221820241573","-0.0467459799437455"
"2","0.00094","-0.10808421696583","-0.0495221632042761","-0.0464542860250417","0.127642639018645","-0.0495221632042761"
"2","0.00095","-0.12424804737686","-0.0639243708361597","-0.049303023513068","0.148171153033549","-0.0639243708361597"
"2","0.00096","-0.153730670618728","-0.0960476314557575","-0.0560456597611762","0.189735032545944","-0.0960476314557575"
"2","0.00097","-0.19079576642884","-0.145099851466387","-0.0663361689899875","0.248711637642882","-0.145099851466387"
"2","0.00098","-0.224539788724462","-0.201949386207075","-0.077967388853249","0.311898356896015","-0.201949386207075"
"2","0.00099","-0.243302020941704","-0.251730269111577","-0.0875822189508359","0.360880377490459","-0.251730269111577"
"2","0.001","-0.239834992374837","-0.279547828044555","-0.0920330725168114","0.379654972532628","-0.279547828044555"
"2","0.00101","-0.214686266287253","-0.276672717015136","-0.0897496892686495","0.361514857228189","-0.276672717015136"
"2","0.00102","-0.176082528510745","-0.244259950207672","-0.0814467894457921","0.311931979176901","-0.244259950207672"
"2","0.00103","-0.136343257522882","-0.19279138960659","-0.0698194392830277","0.246237198408744","-0.19279138960659"
"2","0.00104","-0.106581037689453","-0.137527786193295","-0.0583737352904873","0.183523574894216","-0.137527786193295"
"2","0.00105","-0.0922673464795745","-0.0921929699052903","-0.0499642886903241","0.139675470540355","-0.0921929699052903"
"2","0.00106","-0.0917362874270255","-0.0639021530919692","-0.0457388999110503","0.120793536937025","-0.0639021530919692"
"2","0.00107","-0.098146993624095","-0.0516002828944877","-0.0449619176153607","0.119653648452063","-0.0516002828944877"
"2","0.00108","-0.103658641178257","-0.0484151804707979","-0.0457268483334667","0.123207500784061","-0.0484151804707979"
"2","0.00109","-0.103520760183284","-0.0463509833662254","-0.0461216272825496","0.122442500591631","-0.0463509833662254"
"2","0.0011","-0.0979789172227122","-0.0406867023738783","-0.0452101931909024","0.115322320209725","-0.0406867023738783"
"2","0.00111","-0.0911976247770796","-0.0318256306339292","-0.0433385987781625","0.105868369564676","-0.0318256306339292"
"2","0.00112","-0.0880743068143975","-0.0239028828317178","-0.0416733958228879","0.100324988153075","-0.0239028828317178"
"2","0.00113","-0.0909411695993597","-0.0213103144219653","-0.0413098273287684","0.10213191304776","-0.0213103144219653"
"2","0.00114","-0.0981231603413452","-0.0254144350330578","-0.0425113639088061","0.109914804120327","-0.0254144350330578"
"2","0.00115","-0.105178692305211","-0.033523367893662","-0.0445415360998865","0.119039161405419","-0.033523367893662"
"2","0.00116","-0.108049003250592","-0.0407529306044284","-0.0461860386417447","0.124372579862736","-0.0407529306044284"
"2","0.00117","-0.106187171724115","-0.0436601464997317","-0.0466452766980767","0.123926210582689","-0.0436601464997317"
"2","0.00118","-0.103685884178118","-0.0433751274247709","-0.0462425969299268","0.121534118780435","-0.0433751274247709"
"2","0.00119","-0.107518796770082","-0.0461324476047249","-0.0464775974990511","0.125891466947417","-0.0461324476047249"
"2","0.0012","-0.123657924193944","-0.0605158210623845","-0.0493157848044669","0.146237797595869","-0.0605158210623845"
"2","0.00121","-0.153115850761251","-0.0926202765777538","-0.0560478713796904","0.187521580821716","-0.0926202765777538"
"2","0.00122","-0.190156256425328","-0.141653720717523","-0.066327831537667","0.24622055090366","-0.141653720717523"
"2","0.00123","-0.223875595319293","-0.198484508983817","-0.0779485030244592","0.309180128096663","-0.198484508983817"
"2","0.00124","-0.242613151095043","-0.24824667497322","-0.0875527855322491","0.357984696563948","-0.24824667497322"
