"distance_m","frequency_hz","quantity","real","imag","amplitude"
"2","30","V","2.2735461848349","3.84485375259927","4.46675638841587"
"2","30","Ex","-0.0482531512578048","0.0115887069620655","0.0496252429249592"
"2","30","Ey","-0.0419125001963687","-0.00706768034120975","0.0425042324729683"
"2","30","Ez","-0.0201657964638469","0.0063234937808101","0.0211339991628949"
"2","30","normE","0.068672559542328","0","0.068672559542328"
"2","30","E_sensor","-0.0419125001963687","-0.00706768034120975","0.0425042324729683"
"2","30","V_MEMS","-0.0419125001963687","-0.00706768034120975","0.0425042324729683"
"2","50","V","3.78943131328527","6.40888423206546","7.44537351501751"
"2","50","Ex","-0.0804413227278049","0.0192398752129366","0.0827102121893556"
"2","50","Ey","-0.0698489557048023","-0.0117118641567888","0.0708240381161545"
"2","50","Ez","-0.033580338361908","0.0106064217137085","0.0352155548879931"
"2","50","normE","0.114442819266025","0","0.114442819266025"
"2","50","E_sensor","-0.0698489557048023","-0.0117118641567888","0.0708240381161545"
"2","50","V_MEMS","-0.0698489557048023","-0.0117118641567888","0.0708240381161545"
"3","30","V","2.2458428603031","3.84148966693964","4.44981494158784"
"3","30","Ex","-0.00947685130117826","0.00932563326588998","0.0132957943122823"
"3","30","Ey","-0.0162303004416753","-0.00082315277934164","0.0162511609716101"
"3","30","Ez","-0.0149213152394889","0.0104777902188964","0.0182326557678086"
"3","30","normE","0.0278084180719994","0","0.0278084180719994"
"3","30","E_sensor","-0.0162303004416753","-0.00082315277934164","0.0162511609716101"
"3","30","V_MEMS","-0.0162303004416753","-0.00082315277934164","0.0162511609716101"
"3","50","V","3.74326422000507","6.40331924050616","7.4171776516817"
"3","50","Ex","-0.0158102168407162","0.0154862134722613","0.0221311040000022"
"3","50","Ey","-0.0270459511321626","-0.00134807499695455","0.0270795269316275"
"3","50","Ez","-0.0248530382247871","0.017517574213656","0.0304062315214114"
"3","50","normE","0.0463424800634723","0","0.0463424800634723"
"3","50","E_sensor","-0.0270459511321626","-0.00134807499695455","0.0270795269316275"
"3","50","V_MEMS","-0.0270459511321626","-0.00134807499695455","0.0270795269316275"
"4","30","V","2.23569986785919","3.84184743546244","4.44501356764126"
"4","30","Ex","-0.00270812433882983","0.00639750111071269","0.00694708268959947"
"4","30","Ey","-0.00518835087350134","0.000594293244248867","0.0052222762514752"
"4","30","Ez","-0.00984553920987308","0.0100772291465967","0.0140884771925913"
"4","30","normE","0.0165535288307062","0","0.0165535288307062"
"4","30","E_sensor","-0.00518835087350134","0.000594293244248867","0.0052222762514752"
"4","30","V_MEMS","-0.00518835087350134","0.000594293244248867","0.0052222762514752"
"4","50","V","3.72636255777747","6.40393028864439","7.40919031027162"
"4","50","Ex","-0.00452657260115386","0.0106189446222542","0.011543476270345"
"4","50","Ey","-0.0086449498708987","0.00099826751165466","0.00870239600886886"
"4","50","Ez","-0.0163975002177628","0.0168353899580449","0.0235012418486975"
"4","50","normE","0.0275915187898413","0","0.0275915187898413"
"4","50","E_sensor","-0.0086449498708987","0.00099826751165466","0.00870239600886886"
"4","50","V_MEMS","-0.0086449498708987","0.00099826751165466","0.00870239600886886"
