"distance_m","frequency_hz","quantity","real","imag","amplitude"
"2","30","V","2.27354617188722","3.84485372667887","4.46675635951408"
"2","30","Ex","-0.0482531514690709","0.0115887065332458","0.0496252430302442"
"2","30","Ey","-0.0419125003328342","-0.00706768060747187","0.0425042326518085"
"2","30","Ez","-0.0201657967254181","0.00632349325708415","0.0211339992557791"
"2","30","normE","0.0686725597576873","0","0.0686725597576873"
"2","30","E_sensor","-0.0419125003328342","-0.00706768060747187","0.0425042326518085"
"2","30","V_MEMS","-0.0419125003328342","-0.00706768060747187","0.0425042326518085"
"2","50","V","3.78943136921351","6.40888423614681","7.44537354699618"
"2","50","Ex","-0.0804413218054831","0.0192398752887168","0.0827102113099627"
"2","50","Ey","-0.0698489551263215","-0.0117118641247611","0.0708240375403418"
"2","50","Ez","-0.0335803372315171","0.0106064217961492","0.0352155538349213"
"2","50","normE","0.114442817950078","0","0.114442817950078"
"2","50","E_sensor","-0.0698489551263215","-0.0117118641247611","0.0708240375403418"
"2","50","V_MEMS","-0.0698489551263215","-0.0117118641247611","0.0708240375403418"
"2","4000","V","17.8917818841606","0.109993905838047","17.8921199875727"
"2","4000","Ex","-0.0567736376760699","-0.0138309113204982","0.0584340657744192"
"2","4000","Ey","-0.106006662433657","0.0127706602955809","0.106773134470748"
"2","4000","Ez","-0.0200479197601027","0.000392905826324341","0.0200517695402644"
"2","4000","normE","0.123357674059353","0","0.123357674059353"
"2","4000","E_sensor","-0.106006662433657","0.0127706602955809","0.106773134470748"
"2","4000","V_MEMS","-0.106006662433657","0.0127706602955809","0.106773134470748"
"2","8000","V","8.97113760633495","0.101131571437616","8.97170761597471"
"2","8000","Ex","-0.0324233722439669","-0.0120561386650277","0.0345922758311912"
"2","8000","Ey","-0.048842095069114","0.0107202640106622","0.0500047428870369"
"2","8000","Ez","-0.0104458609952065","0.000780942168631116","0.0104750122960273"
"2","8000","normE","0.0616994792602159","0","0.0616994792602159"
"2","8000","E_sensor","-0.048842095069114","0.0107202640106622","0.0500047428870369"
"2","8000","V_MEMS","-0.048842095069114","0.0107202640106622","0.0500047428870369"
"2","12000","V","4.50272986795187","0.0670816487024926","4.50322953127403"
"2","12000","Ex","-0.0186183281783352","-0.00736835651019045","0.020023356906809"
"2","12000","Ey","-0.0220421682230443","0.00622521947187012","0.022904378128339"
"2","12000","Ez","-0.00533141913010926","0.000885440536445015","0.00540444584434658"
"2","12000","normE","0.0308990840341241","0","0.0308990840341241"
"2","12000","E_sensor","-0.0220421682230443","0.00622521947187012","0.022904378128339"
"2","12000","V_MEMS","-0.0220421682230443","0.00622521947187012","0.022904378128339"
"3","30","V","2.24584284724741","3.8414896408075","4.44981491243891"
"3","30","Ex","-0.00947685139092158","0.00932563308162848","0.0132957942470082"
"3","30","Ey","-0.0162303005201929","-0.00082315293374613","0.0162511610578478"
"3","30","Ez","-0.0149213154316108","0.0104777898352921","0.0182326557045916"
"3","30","normE","0.0278084180497392","0","0.0278084180497392"
"3","30","E_sensor","-0.0162303005201929","-0.00082315293374613","0.0162511610578478"
"3","30","V_MEMS","-0.0162303005201929","-0.00082315293374613","0.0162511610578478"
"3","50","V","3.74326427639277","6.40331924461446","7.4171776836859"
"3","50","Ex","-0.0158102164454412","0.0154862135077813","0.0221311037424772"
"3","50","Ey","-0.0270459507974259","-0.00134807497661527","0.0270795265962933"
"3","50","Ez","-0.0248530373962943","0.0175175742725244","0.0304062308781442"
"3","50","normE","0.0463424793224819","0","0.0463424793224819"
"3","50","E_sensor","-0.0270459507974259","-0.00134807497661527","0.0270795265962933"
"3","50","V_MEMS","-0.0270459507974259","-0.00134807497661527","0.0270795265962933"
"3","4000","V","17.8263910953148","0.116660748999884","17.8267728210541"
"3","4000","Ex","0.0118663479797476","-0.00924155070256077","0.0150404944654244"
"3","4000","Ey","-0.0342621164688381","0.00278098973640295","0.0343747949643079"
"3","4000","Ez","0.00685328830263643","0.00302450117496034","0.0074910058013854"
"3","4000","normE","0.0382617063200148","0","0.0382617063200148"
