"case_id","case_name","frequency_hz","distance_m","quantity","real","imag","amplitude"
"1","motor_30hz","30","2","V","2.27354614550105","3.84485375191764","4.4667563678085"
"1","motor_30hz","30","2","Ex","-0.0482531519068377","0.0115887069474905","0.0496252435526433"
"1","motor_30hz","30","2","Ey","-0.0419125006027228","-0.00706768034374106","0.0425042328740861"
"1","motor_30hz","30","2","Ez","-0.0201657972588509","0.00632349376738439","0.0211339999174607"
"1","motor_30hz","30","2","normE","0.0686725604764009","0","0.0686725604764009"
"1","motor_30hz","30","2","E_sensor","-0.0419125006027228","-0.00706768034374106","0.0425042328740861"
"1","motor_30hz","30","3","V","2.24584282064643","3.8414896662553","4.44981492098215"
"1","motor_30hz","30","3","Ex","-0.00947685157944278","0.00932563325837776","0.013295794505352"
"1","motor_30hz","30","3","Ey","-0.016230300676896","-0.000823152781645575","0.0162511612066456"
"1","motor_30hz","30","3","Ez","-0.0149213158220771","0.0104777902096842","0.0182326562392956"
"1","motor_30hz","30","3","normE","0.0278084186107958","0","0.0278084186107958"
"1","motor_30hz","30","3","E_sensor","-0.016230300676896","-0.000823152781645575","0.0162511612066456"
"1","motor_30hz","30","4","V","2.23569982803547","3.84184743477641","4.44501354701826"
"1","motor_30hz","30","4","Ex","-0.00270812449512037","0.00639750110570869","0.0069470827459168"
"1","motor_30hz","30","4","Ey","-0.00518835097353598","0.000594293243196375","0.00522227635074022"
"1","motor_30hz","30","4","Ez","-0.00984553965223567","0.0100772291398563","0.0140884774969091"
"1","motor_30hz","30","4","normE","0.0165535291446576","0","0.0165535291446576"
"1","motor_30hz","30","4","E_sensor","-0.00518835097353598","0.000594293243196375","0.00522227635074022"
"2","motor_50hz","50","2","V","3.78916573817866","6.40844074941177","7.4448566023872"
"2","motor_50hz","50","2","Ex","-0.0804311158774089","0.0192393653218099","0.0827001667427052"
"2","motor_50hz","50","2","Ey","-0.0698485763624062","-0.0117134491497426","0.0708239261184982"
"2","motor_50hz","50","2","Ez","-0.0335701997627122","0.01060942094092","0.0352067908905375"
"2","motor_50hz","50","2","normE","0.114432793441914","0","0.114432793441914"
"2","motor_50hz","50","2","E_sensor","-0.0698485763624062","-0.0117134491497426","0.0708239261184982"
"2","motor_50hz","50","3","V","3.74300018900259","6.40287510001646","7.41666097117053"
"2","motor_50hz","50","3","Ex","-0.0158039189479862","0.0154869907540487","0.022127149313242"
"2","motor_50hz","50","3","Ey","-0.027044047856279","-0.00134816913360325","0.0270776307025838"
"2","motor_50hz","50","3","Ez","-0.0248438445259502","0.0175197989511275","0.0303999994427223"
"2","motor_50hz","50","3","normE","0.0463353945414683","0","0.0463353945414683"
"2","motor_50hz","50","3","E_sensor","-0.027044047856279","-0.00134816913360325","0.0270776307025838"
"2","motor_50hz","50","4","V","3.72610028719062","6.40348620292314","7.40867457115164"
"2","motor_50hz","50","4","Ex","-0.00452269466153643","0.0106196598465127","0.0115426141864451"
"2","motor_50hz","50","4","Ey","-0.00864374187054651","0.000998380049472836","0.00870120889576984"
"2","motor_50hz","50","4","Ez","-0.0163897700701074","0.0168372395356124","0.0234971742584205"
"2","motor_50hz","50","4","normE","0.0275873191273732","0","0.0275873191273732"
"2","motor_50hz","50","4","E_sensor","-0.00864374187054651","0.000998380049472836","0.00870120889576984"
"3","wall_50hz","50","2","V","0.000264633919129586","0.000441485341890917","0.00051472363289286"
"3","wall_50hz","50","2","Ex","-1.01925047796119E-05","5.129521055444E-07","1.02054041343298E-05"
"3","wall_50hz","50","2","Ey","-3.75203738229462E-07","1.58147728554969E-06","1.62537634100259E-06"
"3","wall_50hz","50","2","Ez","-1.01275149620132E-05","-2.98906874554106E-06","1.05594077140421E-05"
"3","wall_50hz","50","2","normE","1.47747491710099E-05","0","1.47747491710099E-05"
"3","wall_50hz","50","2","E_sensor","-3.75203738229462E-07","1.58147728554969E-06","1.62537634100259E-06"
"3","wall_50hz","50","3","V","0.000263095769570736","0.000442142441336356","0.000514499098538463"
"3","wall_50hz","50","3","Ex","-6.29347272329897E-06","-7.74466824155981E-07","6.34094612661442E-06"
"3","wall_50hz","50","3","Ey","-1.89715590492693E-06","9.36946975426019E-08","1.89946814238795E-06"
"3","wall_50hz","50","3","Ez","-9.18471071608578E-06","-2.21821062615412E-06","9.44877607524721E-06"
"3","wall_50hz","50","3","normE","1.15366783055062E-05","0","1.15366783055062E-05"
"3","wall_50hz","50","3","E_sensor","-1.89715590492693E-06","9.36946975426019E-08","1.89946814238795E-06"
"3","wall_50hz","50","4","V","0.000261337228236292","0.000442088532844855","0.000513555661769145"
"3","wall_50hz","50","4","Ex","-3.87711357188958E-06","-7.12845377766585E-07","3.94210073208861E-06"
"3","wall_50hz","50","4","Ey","-1.20567585537037E-06","-1.12033335646121E-07","1.21086982641367E-06"
"3","wall_50hz","50","4","Ez","-7.72343521629362E-06","-1.84439261070705E-06","7.94060675532514E-06"
"3","wall_50hz","50","4","normE","8.94760300645753E-06","0","8.94760300645753E-06"
"3","wall_50hz","50","4","E_sensor","-1.20567585537037E-06","-1.12033335646121E-07","1.21086982641367E-06"
